ID,reputation
6304541,1
6304542,1
6304543,1
6304544,1
6304546,93
6304547,1
6304548,1
6304549,1
6304550,1
6304551,1
6304552,15
6304553,19
6304554,1
6304555,39
6304556,43
6304557,1
6304558,36
6304559,1
6304560,1
6304561,1
6304562,1
6304563,1
6304564,1
6304565,1
6304567,1
6304568,1
6304569,56
6304570,1
6304571,23
6304572,1
6304573,1
6304574,1
6304575,39
6304576,1
6304577,15
6304578,13
6304580,1
6304581,81
6304582,1
6304583,1
6304584,398
6304585,1
6304586,1
6304587,11
6304588,1
6304589,1
6304590,1
6304591,1
6304592,1
6304593,103
6304594,7
6304596,1
6304597,73
6304598,1
6304599,1
6304600,11
6304601,1
6304602,1
6304603,111
6304604,1
6304605,1
6304606,25
6304607,3
6304608,1
6304609,1
6304610,1
6304611,1
6304612,11
6304613,39
6304614,1
6304615,1
6304616,21
6304617,1
6304618,1
6304619,61
6304620,13
6304621,1
6304622,3
6304623,1
6304624,31
6304625,1
6304626,1
6304627,1
6304628,1
6304629,3
6304630,1
6304631,1
6304633,1
6304634,1
6304635,63
6304636,1
6304637,1
6304638,1
6304639,1
6304640,1
6304641,1
6304642,1
6304643,11
6304644,13
6304645,11
6304646,1
6304647,1
6304648,1
6304649,1
6304650,1
6304651,1
6304652,1
6304654,46
6304655,67
6304656,31
6304657,1
6304658,1
6304659,55
6304660,1
6304661,1
6304662,1
6304663,1
6304664,1
6304665,1
6304666,147
6304667,21
6304669,1
6304670,41
6304672,1
6304673,1
6304674,3
6304675,1
6304676,1
6304678,41
6304679,1
6304680,11
6304681,1
6304682,11
6304683,1
6304684,1
6304685,21
6304688,1
6304689,1
6304690,1
6304691,1
6304692,1
6304693,31
6304694,73
6304695,86
6304698,11
6304699,1
6304700,1
6304701,13
6304702,161
6304703,1
6304704,1
6304705,1
6304706,1
6304707,1
6304708,1
6304710,1
6304711,1
6304712,1
6304713,1
6304714,185
6304715,3
6304716,1
6304717,1
6304718,1
6304720,1
6304721,1
6304722,1
6304723,1
6304724,1
6304725,1
6304727,31
6304728,1
6304729,1
6304730,217
6304731,1
6304732,79
6304733,1
6304734,1
6304736,1
6304737,1
6304738,1
6304739,1
6304740,1
6304741,1
6304742,1
6304744,1
6304745,1
6304746,3
6304748,1
6304749,21
6304750,1
6304751,23
6304752,11
6304753,1
6304754,1
6304755,1
6304756,1
6304757,41
6304758,181
6304759,3
6304761,11
6304762,39
6304763,23
6304764,1
6304765,1
6304766,11
6304768,1
6304769,1
6304770,1
6304771,27
6304772,11
6304773,1
6304774,2072
6304775,13
6304776,1
6304777,1
6304778,3
6304779,1
6304780,1
6304781,1
6304782,1
6304783,61
6304784,1
6304785,69
6304786,41
6304787,23
6304788,1
6304789,159
6304790,1
6304791,1
6304792,349
6304793,1
6304794,1
6304795,1
6304796,1
6304797,54
6304798,1
6304799,1
6304800,1
6304801,53
6304802,1
6304803,113
6304804,1
6304805,733
6304806,1
6304807,1
6304808,1
6304809,1
6304810,11
6304813,1
6304814,1
6304815,1
6304816,1
6304817,1
6304818,13
6304819,39
6304820,1
6304821,101
6304822,13
6304824,1
6304825,1
6304826,1
6304827,193
6304828,1
6304829,1
6304830,275
6304831,1
6304832,21
6304833,1
6304834,1
6304836,1
6304837,1
6304838,1
6304839,1
6304840,1
6304841,1
6304842,1
6304843,1
6304844,1
6304845,1
6304846,1
6304847,641
6304848,1
6304849,1
6304850,1
6304851,1
6304852,1
6304853,1
6304854,229
6304855,1
6304856,1
6304857,67
6304858,1
6304859,3
6304860,1
6304862,1
6304863,1
6304864,1
6304865,11
6304867,1
6304868,93
6304869,1
6304870,11
6304871,1
6304872,185
6304873,41
6304874,1
6304875,1
6304876,1
6304877,63
6304878,1
6304879,19
6304880,1
6304882,1
6304883,1
6304884,1
6304885,1
6304886,1
6304887,1
6304888,21
6304889,19
6304890,1
6304891,1
6304892,1
6304893,11
6304894,1
6304895,53
6304896,1
6304897,33
6304898,1
6304899,1
6304900,1
6304901,1
6304902,1
6304903,31
6304904,1
6304905,1
6304906,1566
6304907,1
6304908,1
6304909,1
6304910,1
6304911,1
6304912,1
6304913,1
6304914,1
6304915,1
6304916,646
6304917,730
6304918,1
6304919,1
6304920,1
6304922,53
6304923,23
6304925,1
6304926,1
6304927,1
6304928,1
6304929,3
6304930,1
6304932,1
6304933,1
6304934,124
6304935,11
6304936,1
6304937,1
6304938,13
6304939,1
6304940,1
6304941,1
6304942,101
6304943,53
6304944,79
6304945,1
6304946,1
6304947,1
6304948,1
6304949,1
6304950,1
6304951,1
6304952,1
6304953,1
6304954,1
6304955,1
6304956,1
6304957,1
6304958,1
6304959,1
6304960,1
6304961,1
6304962,1
6304963,1
6304964,1
6304965,53
6304966,41
6304967,1
6304968,1
6304969,1
6304970,1
6304971,1
6304972,1
6304973,1
6304974,1
6304975,1
6304976,1
6304977,11
6304978,1
6304979,120
6304980,3
6304981,11
6304982,1
6304983,192
6304984,103
6304985,1
6304986,1
6304987,95
6304988,5
6304989,1
6304990,1
6304991,1
6304992,3
6304993,1
